TaxID	Name	Count	Proportion_All(%)	Proportion_Classified(%)	Lineage
1882682	Microvirga ossetica	122991	3.8862	3.89377	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga
1868793	Jeotgalibaca porci	120421	3.805	3.8124	cellular organisms;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Jeotgalibaca
43948	Tolumonas auensis	91916	2.90431	2.90996	cellular organisms;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Tolumonas
2067960	Pseudazoarcus pumilus	91213	2.8821	2.88771	cellular organisms;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Pseudazoarcus
1891644	Epidermidibacterium keratini	86700	2.7395	2.74483	cellular organisms;Actinomycetota;Actinomycetes;Sporichthyales;Sporichthyaceae;Epidermidibacterium
29405	Microlunatus phosphovorus	74372	2.34997	2.35454	cellular organisms;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Microlunatus
1097	Chlorobaculum tepidum	63740	2.01402	2.01794	cellular organisms;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobaculum
61648	Kluyvera intermedia	63686	2.01231	2.01623	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kluyvera
1912897	Blautia argi	59223	1.8713	1.87494	cellular organisms;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia
2890321	Sphingomonas radiodurans	56364	1.78096	1.78443	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
1972431	Phytobacter ursingii	55175	1.74339	1.74678	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Phytobacter
1810504	Immundisolibacter cernigliae	50402	1.59257	1.59567	cellular organisms;Pseudomonadota;Gammaproteobacteria;Immundisolibacterales;Immundisolibacteraceae;Immundisolibacter
52	Chondromyces crocatus	49357	1.55956	1.56259	cellular organisms;Myxococcota;;Polyangiales;Polyangiaceae;Chondromyces
2163011	Orrella marina	47638	1.50524	1.50817	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Orrella
926	Thiomonas intermedia	43441	1.37262	1.3753	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;;Thiomonas
2891210	Thiothrix litoralis	43108	1.3621	1.36475	cellular organisms;Pseudomonadota;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Thiothrix
1534348	Mycolicibacterium sarraceniae	42916	1.35604	1.35868	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium
2815358	Leclercia pneumoniae	42623	1.34678	1.3494	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Leclercia
2109914	Ottowia oryzae	41600	1.31445	1.31701	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ottowia
372663	Isoptericola dokdonensis	41523	1.31202	1.31457	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Promicromonosporaceae;Isoptericola
1282863	Uruburuella testudinis	40972	1.29461	1.29713	cellular organisms;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Uruburuella
1282737	Flaviflexus salsibiostraticola	39333	1.24282	1.24524	cellular organisms;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Flaviflexus
2831662	Gordonia pseudamarae	38451	1.21495	1.21732	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Gordoniaceae;Gordonia
593909	Mesorhizobium opportunistum	38444	1.21473	1.2171	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium
2004710	Cloacibacterium caeni	38008	1.20096	1.20329	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Cloacibacterium
1493872	Chryseobacterium shandongense	37677	1.1905	1.19281	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Chryseobacterium
1620215	Sulfuricaulis limicola	37551	1.18652	1.18883	cellular organisms;Pseudomonadota;Gammaproteobacteria;Acidiferrobacterales;Acidiferrobacteraceae;Sulfuricaulis
1745854	Ancylobacter pratisalsi	37353	1.18026	1.18256	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Xanthobacteraceae;Ancylobacter
312277	Flavobacterium indicum	37200	1.17542	1.17771	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
1701758	Aureimonas populi	35701	1.12806	1.13026	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Aurantimonadaceae;Aureimonas
947919	Desulfosarcina widdelii	34568	1.09226	1.09439	cellular organisms;Thermodesulfobacteriota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;Desulfosarcina
400770	Devosia ginsengisoli	34239	1.08186	1.08397	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia
1849015	Arcobacter acticola	32733	1.03428	1.03629	cellular organisms;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Arcobacteraceae;Arcobacter
1850254	Poseidonibacter parvus	29260	0.924541	0.926341	cellular organisms;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Arcobacteraceae;Poseidonibacter
946333	Piscinibacter gummiphilus	29217	0.923183	0.92498	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Piscinibacter
53461	Nakamurella multipartita	29184	0.92214	0.923935	cellular organisms;Actinomycetota;Actinomycetes;Nakamurellales;Nakamurellaceae;Nakamurella
