Species	n_taxids	representative_taxid	all_taxids	Count	Proportion_All(%)	Proportion_Classified(%)	Lineage
Microvirga ossetica	1	1882682	1882682	122991	3.886200	3.893770	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga
Jeotgalibaca porci	1	1868793	1868793	120421	3.805000	3.812400	cellular organisms;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Jeotgalibaca
Tolumonas auensis	1	43948	43948	91916	2.904310	2.909960	cellular organisms;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Tolumonas
Pseudazoarcus pumilus	1	2067960	2067960	91213	2.882100	2.887710	cellular organisms;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Pseudazoarcus
Epidermidibacterium keratini	1	1891644	1891644	86700	2.739500	2.744830	cellular organisms;Actinomycetota;Actinomycetes;Sporichthyales;Sporichthyaceae;Epidermidibacterium
Microlunatus phosphovorus	1	29405	29405	74372	2.349970	2.354540	cellular organisms;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Microlunatus
Chlorobaculum tepidum	1	1097	1097	63740	2.014020	2.017940	cellular organisms;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobaculum
Kluyvera intermedia	1	61648	61648	63686	2.012310	2.016230	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kluyvera
Blautia argi	1	1912897	1912897	59223	1.871300	1.874940	cellular organisms;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia
Sphingomonas radiodurans	1	2890321	2890321	56364	1.780960	1.784430	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
Phytobacter ursingii	1	1972431	1972431	55175	1.743390	1.746780	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Phytobacter
Immundisolibacter cernigliae	1	1810504	1810504	50402	1.592570	1.595670	cellular organisms;Pseudomonadota;Gammaproteobacteria;Immundisolibacterales;Immundisolibacteraceae;Immundisolibacter
Chondromyces crocatus	1	52	52	49357	1.559560	1.562590	cellular organisms;Myxococcota;;Polyangiales;Polyangiaceae;Chondromyces
Orrella marina	1	2163011	2163011	47638	1.505240	1.508170	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Orrella
Thiomonas intermedia	1	926	926	43441	1.372620	1.375300	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;;Thiomonas
Thiothrix litoralis	1	2891210	2891210	43108	1.362100	1.364750	cellular organisms;Pseudomonadota;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Thiothrix
Mycolicibacterium sarraceniae	1	1534348	1534348	42916	1.356040	1.358680	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium
Leclercia pneumoniae	1	2815358	2815358	42623	1.346780	1.349400	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Leclercia
Ottowia oryzae	1	2109914	2109914	41600	1.314450	1.317010	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ottowia
Isoptericola dokdonensis	1	372663	372663	41523	1.312020	1.314570	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Promicromonosporaceae;Isoptericola
Uruburuella testudinis	1	1282863	1282863	40972	1.294610	1.297130	cellular organisms;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Uruburuella
Flaviflexus salsibiostraticola	1	1282737	1282737	39333	1.242820	1.245240	cellular organisms;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Flaviflexus
Gordonia pseudamarae	1	2831662	2831662	38451	1.214950	1.217320	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Gordoniaceae;Gordonia
Mesorhizobium opportunistum	1	593909	593909	38444	1.214730	1.217100	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium
Cloacibacterium caeni	1	2004710	2004710	38008	1.200960	1.203290	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Cloacibacterium
Chryseobacterium shandongense	1	1493872	1493872	37677	1.190500	1.192810	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Chryseobacterium
Sulfuricaulis limicola	1	1620215	1620215	37551	1.186520	1.188830	cellular organisms;Pseudomonadota;Gammaproteobacteria;Acidiferrobacterales;Acidiferrobacteraceae;Sulfuricaulis
Ancylobacter pratisalsi	1	1745854	1745854	37353	1.180260	1.182560	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Xanthobacteraceae;Ancylobacter
Flavobacterium indicum	1	312277	312277	37200	1.175420	1.177710	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
Aureimonas populi	1	1701758	1701758	35701	1.128060	1.130260	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Aurantimonadaceae;Aureimonas
Desulfosarcina widdelii	1	947919	947919	34568	1.092260	1.094390	cellular organisms;Thermodesulfobacteriota;Desulfobacteria;Desulfobacterales;Desulfosarcinaceae;Desulfosarcina
Devosia ginsengisoli	1	400770	400770	34239	1.081860	1.083970	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Devosia
Arcobacter acticola	1	1849015	1849015	32733	1.034280	1.036290	cellular organisms;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Arcobacteraceae;Arcobacter
Poseidonibacter parvus	1	1850254	1850254	29260	0.924541	0.926341	cellular organisms;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Arcobacteraceae;Poseidonibacter
Piscinibacter gummiphilus	1	946333	946333	29217	0.923183	0.924980	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Piscinibacter
Nakamurella multipartita	1	53461	53461	29184	0.922140	0.923935	cellular organisms;Actinomycetota;Actinomycetes;Nakamurellales;Nakamurellaceae;Nakamurella
Stackebrandtia nassauensis	1	283811	283811	28798	0.909943	0.911715	cellular organisms;Actinomycetota;Actinomycetes;Glycomycetales;Glycomycetaceae;Stackebrandtia
Chenggangzhangella methanolivorans	1	1437009	1437009	28169	0.890068	0.891801	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylopilaceae;Chenggangzhangella
Desulfobulbus propionicus	1	894	894	27421	0.866433	0.868120	cellular organisms;Thermodesulfobacteriota;Desulfobulbia;Desulfobulbales;Desulfobulbaceae;Desulfobulbus
Frateuria aurantia	1	81475	81475	26484	0.836827	0.838456	cellular organisms;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Rhodanobacteraceae;Frateuria
Slackia heliotrinireducens	1	84110	84110	26462	0.836132	0.837759	cellular organisms;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Slackia
Sphingomonas suaedae	1	2599297	2599297	26021	0.822197	0.823798	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
Corynebacterium terpenotabidum	1	89154	89154	26014	0.821976	0.823576	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Corynebacteriaceae;Corynebacterium
Sideroxyarcus emersonii	1	2764705	2764705	25798	0.815151	0.816738	cellular organisms;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Gallionellaceae;Sideroxyarcus
Mongoliitalea daihaiensis	1	2782006	2782006	24967	0.788893	0.790429	cellular organisms;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Mongoliitalea
Blastochloris viridis	1	1079	1079	24879	0.786113	0.787643	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Blastochloridaceae;Blastochloris
Agromyces protaetiae	1	2509455	2509455	22521	0.711606	0.712991	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Agromyces
Candidatus Brevifilum	1	1986204	1986204	22106	0.698493	0.699853	cellular organisms;Chloroflexota;Anaerolineae;Anaerolineales;Anaerolineaceae;Candidatus Brevifilum
Qipengyuania seohaensis	1	266951	266951	20144	0.636499	0.637738	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Qipengyuania
Paenacidovorax monticola	1	1926868	1926868	19001	0.600383	0.601552	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Paenacidovorax
Metapseudomonas lalkuanensis	1	2604832	2604832	18952	0.598835	0.600001	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Metapseudomonas
Nonomuraea gerenzanensis	1	93944	93944	18256	0.576843	0.577966	cellular organisms;Actinomycetota;Actinomycetes;Streptosporangiales;Streptosporangiaceae;Nonomuraea
Ottowia testudinis	1	2816950	2816950	18217	0.575611	0.576731	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ottowia
Isoalcanivorax pacificus	1	1306787	1306787	17095	0.540158	0.541210	cellular organisms;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae;Isoalcanivorax
Limnoglobus roseus	1	2598579	2598579	16746	0.529131	0.530161	cellular organisms;Planctomycetota;Planctomycetia;Gemmatales;Gemmataceae;Limnoglobus
Kribbella flavida	1	182640	182640	15737	0.497249	0.498217	cellular organisms;Actinomycetota;Actinomycetes;Propionibacteriales;Kribbellaceae;Kribbella
Nocardioides humi	1	449461	449461	15630	0.493868	0.494829	cellular organisms;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Nocardioides
Leucobacter denitrificans	1	683042	683042	15347	0.484926	0.485870	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Leucobacter
Ornithinimicrobium flavum	1	1288636	1288636	14771	0.466726	0.467634	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Ornithinimicrobiaceae;Ornithinimicrobium
Pseudothauera hydrothermalis	1	2184083	2184083	14763	0.466473	0.467381	cellular organisms;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Pseudothauera
Vibrio zhugei	1	2479546	2479546	14364	0.453866	0.454749	cellular organisms;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio
Collimonas arenae	1	279058	279058	14165	0.447578	0.448449	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Collimonas
