superkingdom	taxid	name	read_count	rel_abundance
Bacteria	1868793	Jeotgalibaca porci	198850	0.052207
Bacteria	1882682	Microvirga ossetica	170279	0.011734
Bacteria	2527983	Caulifigura coniformis	162116	0.013481
Bacteria	43948	Tolumonas auensis	149358	0.026685
Bacteria	2067960	Pseudazoarcus pumilus	126951	0.030496
Bacteria	1891644	Epidermidibacterium keratini	126841	0.021061
Bacteria	29405	Microlunatus phosphovorus	112369	0.012585
Bacteria	1912897	Blautia argi	100276	0.019071
Bacteria	372663	Isoptericola dokdonensis	85144	0.024129
Bacteria	Algicoccus_marinus	Algicoccus marinus	84975	0.011584
Bacteria	52	Chondromyces crocatus	79262	0.004103
Bacteria	2890321	Sphingomonas radiodurans	74288	0.015302
Bacteria	1810504	Immundisolibacter cernigliae	74091	0.017039
Bacteria	1097	Chlorobaculum tepidum	63965	0.025028
Bacteria	947919	Desulfosarcina widdelii	59728	0.004667
Bacteria	61648	Kluyvera intermedia	59104	0.026548
Bacteria	331696	Pseudolabrys taiwanensis	57520	0.007138
Bacteria	1282737	Flaviflexus salsibiostraticola	56359	0.01419
Bacteria	1620215	Sulfuricaulis limicola	55824	0.012508
Bacteria	2109914	Ottowia oryzae	54857	0.011897
Bacteria	926	Thiomonas intermedia	54744	0.012478
Bacteria	Neisseria_testudinis	Neisseria testudinis	53761	0.012591
Bacteria	2831662	Gordonia pseudamarae	51171	0.007255
Bacteria	1745854	Ancylobacter pratisalsi	50056	0.007927
Bacteria	1701758	Aureimonas populi	48900	0.009951
Bacteria	2891210	Thiothrix litoralis	48096	0.013149
Bacteria	53461	Nakamurella multipartita	47816	0.006151
Bacteria	394935	Chromobacterium haemolyticum	47260	0.022873
Bacteria	Mycobacterium_sarraceniae	Mycobacterium sarraceniae	47179	0.008943
Bacteria	Rhizobacter_gummiphilus	Rhizobacter gummiphilus	46001	0.006059
Bacteria	894	Desulfobulbus propionicus	45051	0.006736
Bacteria	84110	Slackia heliotrinireducens	44310	0.008085
Bacteria	283811	Stackebrandtia nassauensis	44058	0.004431
Bacteria	2782006	Mongoliitalea daihaiensis	42587	0.004978
Bacteria	312277	Flavobacterium indicum	42321	0.009861
Bacteria	400770	Devosia ginsengisoli	41975	0.007293
Bacteria	Hansschlegelia_methanolivorans	Hansschlegelia methanolivorans	41747	0.005583
Bacteria	593909	Mesorhizobium opportunistum	40925	0.018999
Bacteria	1986204	Brevefilum fermentans	40735	0.008763
Bacteria	1493872	Chryseobacterium shandongense	40328	0.014125
Bacteria	81475	Frateuria aurantia	40064	0.006979
Bacteria	2815358	Leclercia pneumoniae	40029	0.010192
Bacteria	89154	Corynebacterium terpenotabidum	35506	0.009435
Bacteria	1079	Blastochloris viridis	35278	0.008038
Bacteria	Arachnia_timonensis	Arachnia timonensis	35129	0.008104
Bacteria	2764705	Sideroxyarcus emersonii	34721	0.00901
Bacteria	2599297	Sphingomonas suaedae	34633	0.006521
Bacteria	2509455	Agromyces protaetiae	31492	0.00797
Bacteria	93944	Nonomuraea gerenzanensis	28649	0.002742
Bacteria	449461	Nocardioides humi	28043	0.00506
Bacteria	182640	Kribbella flavida	27502	0.002998
Bacteria	2598579	Limnoglobus roseus	27237	0.00168
Bacteria	266951	Qipengyuania seohaensis	27066	0.006748
Bacteria	1850254	Poseidonibacter parvus	25718	0.00759
Bacteria	683042	Leucobacter denitrificans	25452	0.006307
Bacteria	1306787	Isoalcanivorax pacificus	25326	0.004006
Bacteria	Acidovorax_monticola	Acidovorax monticola	25127	0.006063
Bacteria	2816950	Ottowia testudinis	25109	0.004774
Bacteria	Aliarcobacter_acticola	Aliarcobacter acticola	24522	0.00761
Bacteria	Serinicoccus_flavus	Serinicoccus flavus	23767	0.00576
Bacteria	2479546	Vibrio zhugei	23730	0.004254
Bacteria	Acetatifactor_intestinalis	Acetatifactor intestinalis	23469	0.004128
Bacteria	2004710	Cloacibacterium caeni	23176	0.016204
Bacteria	1940612	Pigmentiphaga aceris	21522	0.002167
Bacteria	2604832	Metapseudomonas lalkuanensis	19857	0.004202
Bacteria	2184083	Pseudothauera hydrothermalis	19667	0.004532
Bacteria	279058	Collimonas arenae	19583	0.002336
Bacteria	361111	Desulfoglaeba alkanexedens	19324	0.00323
Bacteria	2822368	Lysobacter luteus	19163	0.006558
Bacteria	11	Cellulomonas gilvus	19047	0.005861
Bacteria	2865840	Deefgea tanakiae	18761	0.00312
Bacteria	Homoserinibacter_larvae	Homoserinibacter larvae	18673	0.007168
Bacteria	1084	Pararhodospirillum photometricum	18321	0.002906
Bacteria	Roseococcus_rosea	Roseococcus rosea	18120	0.00248
Bacteria	2861782	Paraburkholderia edwinii	16934	0.001739
Bacteria	1550733	Aquisediminimonas profunda	16860	0.002906
Bacteria	2949664	Paraconexibacter antarcticus	16770	0.002549
Bacteria	2320868	Clostridium manihotivorum	16359	0.001529
Bacteria	2109913	Melaminivora suipulveris	15847	0.005451
Bacteria	402297	Nocardioides daphniae	15649	0.004736
Bacteria	421525	Kaistella haifensis	15497	0.003917
Bacteria	Kaistella_suipulveris	Kaistella suipulveris	15415	0.003233
Bacteria	1537215	Pseudooceanicola algae	15281	0.002568
Bacteria	2591109	Casimicrobium huifangae	14730	0.00207
Bacteria	173480	Gemmatimonas aurantiaca	14140	0.001727
Bacteria	630515	Microlunatus soli	13969	0.00133
Bacteria	164759	Diaphorobacter nitroreducens	13810	0.003526
Bacteria	119484	Syntrophobacter fumaroxidans	13462	0.001541
Bacteria	332249	Truepera radiovictrix	12893	0.002356
Bacteria	1534	Clostridium kluyveri	12602	0.003248
Bacteria	Mycobacterium_rutilum	Mycobacterium rutilum	12568	0.00242
Bacteria	Novisyntrophococcus_liquoris	Novisyntrophococcus liquoris	12463	0.002019
Bacteria	Gallionella_kumadai	Gallionella kumadai	12054	0.003204
Bacteria	748811	Sulfuritalea hydrogenivorans	11713	0.00218
Bacteria	1751056	Flavobacterium ammonificans	11380	0.00363
Bacteria	1082851	Comamonas serinivorans	11141	0.001948
Bacteria	397865	Barnesiella viscericola	10587	0.002103
Bacteria	2898793	Frateuria edaphi	10367	0.002554
Bacteria	2213200	Nocardia mangyaensis	10331	0.001273
Bacteria	797291	Sphingobacterium lactis	10297	0.001515
Bacteria	2842357	Pseudomonas muyukensis	10136	0.004452
Bacteria	Homoserinibacter_intestinalis	Homoserinibacter intestinalis	9867	0.003588
Bacteria	2259340	Paracoccus suum	9776	0.002304
Bacteria	Mycobacterium_litorale	Mycobacterium litorale	9381	0.002248
Bacteria	1306519	Flavobacterium commune	9288	0.00173
Bacteria	1482074	Hartmannibacter diazotrophicus	9238	0.001249
Bacteria	2824561	Luteolibacter ambystomatis	9160	0.000989
Bacteria	41899	Burkholderia plantarii	9032	0.002674
Bacteria	147645	Paracoccus yeei	9031	0.004226
Bacteria	2116657	Pulveribacter suum	9011	0.003624
Bacteria	2732067	Usitatibacter rugosus	8957	0.001426
Bacteria	Vitreimonas_silvestris	Vitreimonas silvestris	8744	0.001339
Bacteria	69395	Caulobacter henricii	8582	0.001584
Bacteria	Arachnia_palaemonis	Arachnia palaemonis	8483	0.004719
Bacteria	1387353	Paludisphaera borealis	8452	0.000663
Bacteria	2584944	Sutterella faecalis	8367	0.001636
Bacteria	Allorhizobium_daejeonense	Allorhizobium daejeonense	8278	0.001629
Bacteria	2093856	Butyricimonas faecalis	8140	0.001195
Bacteria	80816	Haliangium ochraceum	8075	0.00058
Bacteria	Lachnoclostridium_monacensis	Lachnoclostridium monacensis	8056	0.001416
Bacteria	1450134	Stenotrophomonas bentonitica	7903	0.004203
Bacteria	675281	Aquibium microcysteis	7768	0.001018
Bacteria	370777	Arenimonas daejeonensis	7759	0.002175
Bacteria	1859	Frankia alni	7602	0.001424
Bacteria	1945662	Paracoccus contaminans	7594	0.002385
Bacteria	2895947	Flavobacterium cyclinae	7448	0.002037
Bacteria	1935379	Leucobacter muris	7317	0.002256
Bacteria	506591	Leisingera caerulea	7238	0.002496
