Sample_Taxid	clade_fragments_covered	abundance	rank	name
Illumina_CDC_2054	3.0	0.0	S	Gordonia bronchialis
Illumina_CDC_2061	2.0	0.0	S	Tsukamurella paurometabola
Illumina_CDC_172045	7.0	0.0	S	Elizabethkingia miricola
Illumina_CDC_2074	2.0	0.0	S	Pseudonocardia autotrophica
Illumina_CDC_81947	7.0	0.0	S	Vagococcus lutrae
Illumina_CDC_684066	1.0	0.0	S	Streptococcus lactarius
Illumina_CDC_149539	9.0	0.0	S2	Salmonella enterica subsp. enterica serovar Enteritidis
Illumina_CDC_141349	3.0	0.0	S	Mycobacterium lentiflavum
Illumina_CDC_2098	1.0	0.0	S	Metamycoplasma hominis
Illumina_CDC_180282	31.0	0.0	S	Delftia tsuruhatensis
Illumina_CDC_262209	106.0	0.0	S	Janibacter melonis
Illumina_CDC_208962	21.0	0.0	S	Escherichia albertii
Illumina_CDC_51288	13.0	0.0	S	Kluyvera ascorbata
Illumina_CDC_53345	2.0	0.0	S	Enterococcus durans
Illumina_CDC_53346	2.0	0.0	S	Enterococcus mundtii
Illumina_CDC_342113	3.0	0.0	S	Burkholderia oklahomensis
Illumina_CDC_2529381	7.0	0.0	S	Enterobacter wuhouensis
Illumina_CDC_217203	1085.0	0.02	S	Achromobacter spanius
Illumina_CDC_217204	447.0	0.01	S	Achromobacter insolitus
Illumina_CDC_1851514	13.0	0.0	S	Scandinavium goeteborgense
Illumina_CDC_120959	1.0	0.0	S	Mycobacterium kubicae
Illumina_CDC_53376	1.0	0.0	S	Mycobacterium heidelbergense
Illumina_CDC_90239	1.0	0.0	S	Moraxella canis
Illumina_CDC_57480	5.0	0.0	S	Microvirgula aerodenitrificans
Illumina_CDC_84112	3.0	0.0	S	Eggerthella lenta
Illumina_CDC_106648	5.0	0.0	S	Acinetobacter bereziniae
Illumina_CDC_178339	2.0	0.0	S	Pauljensenia hongkongensis
Illumina_CDC_463014	16.0	0.0	S	Bordetella flabilis
Illumina_CDC_59561	2.0	0.0	S	Trueperella bernardiae
Illumina_CDC_258224	1.0	0.0	S	Corynebacterium resistens
Illumina_CDC_463025	6.0	0.0	S	Bordetella bronchialis
Illumina_CDC_147645	554.0	0.01	S	Paracoccus yeei
Illumina_CDC_69823	1.0	0.0	S	Selenomonas sputigena
Illumina_CDC_195	1.0	0.0	S	Campylobacter coli
Illumina_CDC_197	1.0	0.0	S	Campylobacter jejuni
Illumina_CDC_198	3.0	0.0	S	Campylobacter hyointestinalis
Illumina_CDC_202950	2.0	0.0	S	Acinetobacter baylyi
Illumina_CDC_61645	55.0	0.0	S	Enterobacter asburiae
Illumina_CDC_61647	16.0	0.0	S	Pluralibacter gergoviae
Illumina_CDC_47312	2.0	0.0	S	Tsukamurella pulmonis
Illumina_CDC_75985	24.0	0.0	S	Mannheimia haemolytica
Illumina_CDC_210	1.0	0.0	S	Helicobacter pylori
Illumina_CDC_61651	17.0	0.0	S	Serratia ficaria
Illumina_CDC_61652	1.0	0.0	S	Serratia rubidaea
Illumina_CDC_96468	8.0	0.0	S	Nocardia vinacea
Illumina_CDC_53462	28.0	0.0	S	Mycolicibacterium mageritense
Illumina_CDC_82135	8.0	0.0	S	Fannyhessea vaginae
Illumina_CDC_319706	19.0	0.0	S	Mycolicibacterium phocaicum
Illumina_CDC_319707	394.0	0.01	S	Mycolicibacterium aubagnense
Illumina_CDC_28901	304.0	0.01	S	Salmonella enterica
Illumina_CDC_2494702	3.0	0.0	S	Enterobacter huaxiensis
Illumina_CDC_67824	16.0	0.0	S	Citrobacter farmeri
Illumina_CDC_67825	11.0	0.0	S	Citrobacter rodentium
Illumina_CDC_41202	1.0	0.0	S	Ewingella americana
Illumina_CDC_67826	4.0	0.0	S	Citrobacter sedlakii
Illumina_CDC_67827	103.0	0.0	S	Citrobacter werkmanii
Illumina_CDC_246	50.0	0.0	S	Chryseobacterium balustinum
Illumina_CDC_247	8.0	0.0	S	Empedobacter brevis
Illumina_CDC_250	14.0	0.0	S	Chryseobacterium gleum
Illumina_CDC_253	46.0	0.0	S	Chryseobacterium indologenes
Illumina_CDC_43263	24.0	0.0	S	Pseudomonas alcaligenes
Illumina_CDC_256	2.0	0.0	S	Myroides odoratus
Illumina_CDC_90370	10.0	0.0	S2	Salmonella enterica subsp. enterica serovar Typhi
Illumina_CDC_258	2.0	0.0	S	Sphingobacterium spiritivorum
Illumina_CDC_263	1.0	0.0	S	Francisella tularensis
Illumina_CDC_1530123	8.0	0.0	S	Acinetobacter seifertii
Illumina_CDC_285	22.0	0.0	S	Comamonas testosteroni
Illumina_CDC_287	313.0	0.01	S	Pseudomonas aeruginosa
Illumina_CDC_292	30.0	0.0	S	Burkholderia cepacia
Illumina_CDC_293	1.0	0.0	S	Brevundimonas diminuta
Illumina_CDC_294	265.0	0.01	S	Pseudomonas fluorescens
Illumina_CDC_33060	2.0	0.0	S	Yersinia mollaretii
Illumina_CDC_291112	1.0	0.0	S	Photorhabdus asymbiotica
Illumina_CDC_300	232.0	0.0	S	Pseudomonas mendocina
Illumina_CDC_303	408.0	0.01	S	Pseudomonas putida
Illumina_CDC_665913	39.0	0.0	S	Mixta calida
Illumina_CDC_135487	4.0	0.0	S	Nocardia cyriacigeorgica
Illumina_CDC_133448	2.0	0.0	S	Citrobacter youngae
Illumina_CDC_329	5.0	0.0	S	Ralstonia pickettii
Illumina_CDC_337	291.0	0.01	S	Burkholderia glumae
Illumina_CDC_43348	6.0	0.0	S	Mycobacterium branderi
Illumina_CDC_358	15.0	0.0	S	Agrobacterium tumefaciens
Illumina_CDC_57704	1.0	0.0	S	Tsukamurella tyrosinosolvens
Illumina_CDC_57706	39.0	0.0	S	Citrobacter braakii
Illumina_CDC_98668	3.0	0.0	S	Mycolicibacterium septicum
Illumina_CDC_1552759	15.0	0.0	S	Mycolicibacterium grossiae
Illumina_CDC_332186	2.0	0.0	S	Shewanella xiamenensis
Illumina_CDC_94624	18.0	0.0	S	Bordetella petrii
Illumina_CDC_59814	4.0	0.0	S	Pantoea dispersa
Illumina_CDC_111015	4.0	0.0	S	Actinomyces radicidentis
Illumina_CDC_649638	146.0	0.0	S1	Truepera radiovictrix DSM 17093
Illumina_CDC_119219	14.0	0.0	S	Cupriavidus metallidurans
Illumina_CDC_108980	1.0	0.0	S	Acinetobacter ursingii
Illumina_CDC_108981	23.0	0.0	S	Acinetobacter schindleri
Illumina_CDC_446	1.0	0.0	S	Legionella pneumophila
Illumina_CDC_154046	2.0	0.0	S	Hungatella hathewayi
Illumina_CDC_449	1.0	0.0	S	Legionella hackeliae
Illumina_CDC_319939	26.0	0.0	S	Pseudomonas otitidis
Illumina_CDC_37326	3.0	0.0	S	Nocardia brasiliensis
Illumina_CDC_37329	1.0	0.0	S	Nocardia farcinica
Illumina_CDC_37330	2.0	0.0	S	Nocardia nova
Illumina_CDC_470	45.0	0.0	S	Acinetobacter baumannii
Illumina_CDC_471	6.0	0.0	S	Acinetobacter calcoaceticus
Illumina_CDC_472	1.0	0.0	S	Acinetobacter sp.
Illumina_CDC_332249	9101.0	0.18	S	Truepera radiovictrix
Illumina_CDC_485	10.0	0.0	S	Neisseria gonorrhoeae
Illumina_CDC_487	3.0	0.0	S	Neisseria meningitidis
Illumina_CDC_207340	12.0	0.0	S	Roseomonas mucosa
Illumina_CDC_493	1.0	0.0	S	Neisseria canis
Illumina_CDC_78327	71.0	0.0	S	Pseudomonas mosselii
