abundance	clade_fragments_covered	number_fragments_assigned	rank	taxid	name
0.0	3.0	3.0	S	2054	Gordonia bronchialis
0.0	2.0	0.0	S	2061	Tsukamurella paurometabola
0.0	7.0	7.0	S	172045	Elizabethkingia miricola
0.0	2.0	2.0	S	2074	Pseudonocardia autotrophica
0.0	7.0	7.0	S	81947	Vagococcus lutrae
0.0	1.0	1.0	S	684066	Streptococcus lactarius
0.0	9.0	8.0	S2	149539	Salmonella enterica subsp. enterica serovar Enteritidis
0.0	3.0	3.0	S	141349	Mycobacterium lentiflavum
0.0	1.0	1.0	S	2098	Metamycoplasma hominis
0.0	31.0	31.0	S	180282	Delftia tsuruhatensis
0.0	106.0	106.0	S	262209	Janibacter melonis
0.0	21.0	20.0	S	208962	Escherichia albertii
0.0	13.0	13.0	S	51288	Kluyvera ascorbata
0.0	2.0	2.0	S	53345	Enterococcus durans
0.0	2.0	2.0	S	53346	Enterococcus mundtii
0.0	3.0	3.0	S	342113	Burkholderia oklahomensis
0.0	7.0	7.0	S	2529381	Enterobacter wuhouensis
0.02	1085.0	1085.0	S	217203	Achromobacter spanius
0.01	447.0	447.0	S	217204	Achromobacter insolitus
0.0	13.0	13.0	S	1851514	Scandinavium goeteborgense
0.0	1.0	1.0	S	120959	Mycobacterium kubicae
0.0	1.0	1.0	S	53376	Mycobacterium heidelbergense
0.0	1.0	1.0	S	90239	Moraxella canis
0.0	5.0	5.0	S	57480	Microvirgula aerodenitrificans
0.0	3.0	2.0	S	84112	Eggerthella lenta
0.0	5.0	5.0	S	106648	Acinetobacter bereziniae
0.0	2.0	2.0	S	178339	Pauljensenia hongkongensis
0.0	16.0	16.0	S	463014	Bordetella flabilis
0.0	2.0	2.0	S	59561	Trueperella bernardiae
0.0	1.0	0.0	S	258224	Corynebacterium resistens
0.0	6.0	6.0	S	463025	Bordetella bronchialis
0.01	554.0	554.0	S	147645	Paracoccus yeei
0.0	1.0	1.0	S	69823	Selenomonas sputigena
0.0	1.0	1.0	S	195	Campylobacter coli
0.0	1.0	1.0	S	197	Campylobacter jejuni
0.0	3.0	3.0	S	198	Campylobacter hyointestinalis
0.0	2.0	2.0	S	202950	Acinetobacter baylyi
0.0	55.0	55.0	S	61645	Enterobacter asburiae
0.0	16.0	16.0	S	61647	Pluralibacter gergoviae
0.0	2.0	2.0	S	47312	Tsukamurella pulmonis
0.0	24.0	24.0	S	75985	Mannheimia haemolytica
0.0	1.0	0.0	S	210	Helicobacter pylori
0.0	17.0	17.0	S	61651	Serratia ficaria
0.0	1.0	1.0	S	61652	Serratia rubidaea
0.0	8.0	8.0	S	96468	Nocardia vinacea
0.0	28.0	28.0	S	53462	Mycolicibacterium mageritense
0.0	8.0	8.0	S	82135	Fannyhessea vaginae
0.0	19.0	19.0	S	319706	Mycolicibacterium phocaicum
0.01	394.0	394.0	S	319707	Mycolicibacterium aubagnense
0.01	304.0	70.0	S	28901	Salmonella enterica
0.0	3.0	3.0	S	2494702	Enterobacter huaxiensis
0.0	16.0	16.0	S	67824	Citrobacter farmeri
0.0	11.0	11.0	S	67825	Citrobacter rodentium
0.0	1.0	1.0	S	41202	Ewingella americana
0.0	4.0	4.0	S	67826	Citrobacter sedlakii
0.0	103.0	103.0	S	67827	Citrobacter werkmanii
0.0	50.0	50.0	S	246	Chryseobacterium balustinum
0.0	8.0	8.0	S	247	Empedobacter brevis
0.0	14.0	14.0	S	250	Chryseobacterium gleum
0.0	46.0	46.0	S	253	Chryseobacterium indologenes
0.0	24.0	24.0	S	43263	Pseudomonas alcaligenes
0.0	2.0	2.0	S	256	Myroides odoratus
0.0	10.0	8.0	S2	90370	Salmonella enterica subsp. enterica serovar Typhi
0.0	2.0	2.0	S	258	Sphingobacterium spiritivorum
0.0	1.0	0.0	S	263	Francisella tularensis
0.0	8.0	8.0	S	1530123	Acinetobacter seifertii
0.0	22.0	21.0	S	285	Comamonas testosteroni
0.01	313.0	303.0	S	287	Pseudomonas aeruginosa
0.0	30.0	24.0	S	292	Burkholderia cepacia
0.0	1.0	1.0	S	293	Brevundimonas diminuta
0.01	265.0	222.0	S	294	Pseudomonas fluorescens
0.0	2.0	0.0	S	33060	Yersinia mollaretii
0.0	1.0	1.0	S	291112	Photorhabdus asymbiotica
0.0	232.0	187.0	S	300	Pseudomonas mendocina
0.01	408.0	390.0	S	303	Pseudomonas putida
0.0	39.0	39.0	S	665913	Mixta calida
0.0	4.0	4.0	S	135487	Nocardia cyriacigeorgica
0.0	2.0	2.0	S	133448	Citrobacter youngae
0.0	5.0	5.0	S	329	Ralstonia pickettii
0.01	291.0	287.0	S	337	Burkholderia glumae
0.0	6.0	6.0	S	43348	Mycobacterium branderi
0.0	15.0	15.0	S	358	Agrobacterium tumefaciens
0.0	1.0	1.0	S	57704	Tsukamurella tyrosinosolvens
0.0	39.0	39.0	S	57706	Citrobacter braakii
0.0	3.0	3.0	S	98668	Mycolicibacterium septicum
0.0	15.0	15.0	S	1552759	Mycolicibacterium grossiae
0.0	2.0	2.0	S	332186	Shewanella xiamenensis
0.0	18.0	18.0	S	94624	Bordetella petrii
0.0	4.0	4.0	S	59814	Pantoea dispersa
0.0	4.0	4.0	S	111015	Actinomyces radicidentis
0.0	146.0	146.0	S1	649638	Truepera radiovictrix DSM 17093
0.0	14.0	14.0	S	119219	Cupriavidus metallidurans
0.0	1.0	1.0	S	108980	Acinetobacter ursingii
0.0	23.0	23.0	S	108981	Acinetobacter schindleri
0.0	1.0	1.0	S	446	Legionella pneumophila
0.0	2.0	1.0	S	154046	Hungatella hathewayi
0.0	1.0	1.0	S	449	Legionella hackeliae
0.0	26.0	26.0	S	319939	Pseudomonas otitidis
0.0	3.0	1.0	S	37326	Nocardia brasiliensis
0.0	1.0	1.0	S	37329	Nocardia farcinica
0.0	2.0	0.0	S	37330	Nocardia nova
0.0	45.0	40.0	S	470	Acinetobacter baumannii
