TaxID	Name	Count	Proportion_All(%)	Proportion_Classified(%)	Lineage
80878	Acidovorax temperans	6631	2.88599	2.88606	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax
9606	Homo sapiens	5831	2.53781	2.53787	cellular organisms;Chordata;Mammalia;Primates;Hominidae;Homo
252130	Uruburuella suis	5133	2.23402	2.23407	cellular organisms;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Uruburuella
1501662	Streptococcus parasuis	4608	2.00553	2.00557	cellular organisms;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
1904944	Stenotrophomonas sp. LM091	4465	1.94329	1.94333	cellular organisms;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas
1537215	Pseudooceanicola algae	3889	1.6926	1.69264	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Pseudooceanicola
1868793	Jeotgalibaca porci	3837	1.66997	1.67	cellular organisms;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Jeotgalibaca
1482074	Hartmannibacter diazotrophicus	3622	1.57639	1.57643	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Pleomorphomonadaceae;Hartmannibacter
1622	Ligilactobacillus murinus	3577	1.55681	1.55684	cellular organisms;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Ligilactobacillus
225991	Comamonas aquatica	2930	1.27522	1.27524	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas
2067960	Pseudazoarcus pumilus	2695	1.17294	1.17296	cellular organisms;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Pseudazoarcus
2576756	Caproicibacter fermentans	2645	1.15118	1.1512	cellular organisms;Bacillota;Clostridia;Eubacteriales;Acutalibacteraceae;Caproicibacter
216929	Mycolicibacterium psychrotolerans	2636	1.14726	1.14728	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium
372663	Isoptericola dokdonensis	2559	1.11375	1.11377	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Promicromonosporaceae;Isoptericola
1097	Chlorobaculum tepidum	2282	0.993189	0.99321	cellular organisms;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobaculum
1353890	Achromobacter kerstersii	2139	0.930951	0.930971	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter
926	Thiomonas intermedia	1972	0.858268	0.858287	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;;Thiomonas
43948	Tolumonas auensis	1924	0.837377	0.837396	cellular organisms;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Tolumonas
45851	Eshraghiella crossota	1914	0.833025	0.833043	cellular organisms;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Eshraghiella
83265	Aminobacter niigataensis	1905	0.829108	0.829126	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Aminobacter
182337	Erwinia billingiae	1905	0.829108	0.829126	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia
2518989	Aequoribacter fuscus	1852	0.806041	0.806058	cellular organisms;Pseudomonadota;Gammaproteobacteria;Cellvibrionales;Halieaceae;Aequoribacter
1882682	Microvirga ossetica	1788	0.778186	0.778203	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga
1891644	Epidermidibacterium keratini	1755	0.763824	0.763841	cellular organisms;Actinomycetota;Actinomycetes;Sporichthyales;Sporichthyaceae;Epidermidibacterium
913	Nitrobacter winogradskyi	1711	0.744674	0.74469	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Nitrobacter
34002	Paracoccus alcaliphilus	1690	0.735534	0.73555	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus
2004710	Cloacibacterium caeni	1643	0.715078	0.715094	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Cloacibacterium
379895	Comamonas odontotermitis	1600	0.696364	0.696379	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas
1810504	Immundisolibacter cernigliae	1507	0.655888	0.655902	cellular organisms;Pseudomonadota;Gammaproteobacteria;Immundisolibacterales;Immundisolibacteraceae;Immundisolibacter
42906	Serratia entomophila	1489	0.648053	0.648068	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia
280145	Acinetobacter colistiniresistens	1422	0.618893	0.618907	cellular organisms;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter
34073	Variovorax paradoxus	1395	0.607142	0.607155	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax
1912897	Blautia argi	1389	0.604531	0.604544	cellular organisms;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia
470	Acinetobacter baumannii	1374	0.598002	0.598015	cellular organisms;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter
593909	Mesorhizobium opportunistum	1350	0.587557	0.58757	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium
756892	Acinetobacter indicus	1334	0.580593	0.580606	cellular organisms;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter
2890321	Sphingomonas radiodurans	1325	0.576676	0.576689	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
402297	Nocardioides daphniae	1306	0.568407	0.568419	cellular organisms;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Nocardioides
797291	Sphingobacterium lactis	1261	0.548822	0.548834	cellular organisms;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium
61648	Kluyvera intermedia	1230	0.53533	0.535341	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kluyvera
2929799	Chryseobacterium oryzae	1227	0.534024	0.534036	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Chryseobacterium
