Species	n_taxids	representative_taxid	all_taxids	Count	Proportion_All(%)	Proportion_Classified(%)	Lineage
Acidovorax temperans	1	80878	80878	6631	2.885990	2.886060	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax
Homo sapiens	1	9606	9606	5831	2.537810	2.537870	cellular organisms;Chordata;Mammalia;Primates;Hominidae;Homo
Uruburuella suis	1	252130	252130	5133	2.234020	2.234070	cellular organisms;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Uruburuella
Stenotrophomonas sp.	13	1904944	1904944;2775920;3456954;3465763;3051123;3068324;3447194;2871174;3465270;3465271;3395906;3162571;3384161	4610	2.006398	2.006439	cellular organisms;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas
Streptococcus parasuis	1	1501662	1501662	4608	2.005530	2.005570	cellular organisms;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
Pseudooceanicola algae	1	1537215	1537215	3889	1.692600	1.692640	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Pseudooceanicola
Jeotgalibaca porci	1	1868793	1868793	3837	1.669970	1.670000	cellular organisms;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Jeotgalibaca
Hartmannibacter diazotrophicus	1	1482074	1482074	3622	1.576390	1.576430	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Pleomorphomonadaceae;Hartmannibacter
Ligilactobacillus murinus	1	1622	1622	3577	1.556810	1.556840	cellular organisms;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Ligilactobacillus
Comamonas aquatica	1	225991	225991	2930	1.275220	1.275240	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas
Pseudazoarcus pumilus	1	2067960	2067960	2695	1.172940	1.172960	cellular organisms;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Pseudazoarcus
Caproicibacter fermentans	1	2576756	2576756	2645	1.151180	1.151200	cellular organisms;Bacillota;Clostridia;Eubacteriales;Acutalibacteraceae;Caproicibacter
Mycolicibacterium psychrotolerans	1	216929	216929	2636	1.147260	1.147280	cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium
Isoptericola dokdonensis	1	372663	372663	2559	1.113750	1.113770	cellular organisms;Actinomycetota;Actinomycetes;Micrococcales;Promicromonosporaceae;Isoptericola
Chlorobaculum tepidum	1	1097	1097	2282	0.993189	0.993210	cellular organisms;Chlorobiota;Chlorobiia;Chlorobiales;Chlorobiaceae;Chlorobaculum
Achromobacter kerstersii	1	1353890	1353890	2139	0.930951	0.930971	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter
Thiomonas intermedia	1	926	926	1972	0.858268	0.858287	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;;Thiomonas
Pseudomonas sp.	96	3019968	3019968;2730847;3464708;3096605;2057789;2926673;3235108;3399679;3682859;2870860;2983246;3682583;2866808;2067572;3235111;3112105;2921518;3241600;3048607;3388490;2738843;3682575;1602529;1856685;3392115;2895490;2706126;3464709;1294143;2954084;3701357;2972478;3388491;2705472;1827300;1573711;3414496;3384787;2726989;3028807;2895495;2604941;658630;2870750;260561;3701356;2219057;3451558;3020843;658644;2937879;3074146;2841064;3715112;3120822;410021;3402865;3681998;3097255;3464712;2895474;3078264;2871095;2954086;2954094;2954099;3094846;1506334;3465252;3465258;1259581;2774459;3465262;3465265;2991051;3381355;1357074;2479392;1259590;3477504;3086079;3697038;3043445;3682587;2811422;3016341;3681522;658642;2675224;3074147;147212;3474436;2986947;484423;2817413;3682582	1944	0.846082	0.846100	cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Tolumonas auensis	1	43948	43948	1924	0.837377	0.837396	cellular organisms;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Tolumonas
Eshraghiella crossota	1	45851	45851	1914	0.833025	0.833043	cellular organisms;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Eshraghiella
Aminobacter niigataensis	1	83265	83265	1905	0.829108	0.829126	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Aminobacter
Erwinia billingiae	1	182337	182337	1905	0.829108	0.829126	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Erwinia
Aequoribacter fuscus	1	2518989	2518989	1852	0.806041	0.806058	cellular organisms;Pseudomonadota;Gammaproteobacteria;Cellvibrionales;Halieaceae;Aequoribacter
Microvirga ossetica	1	1882682	1882682	1788	0.778186	0.778203	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Microvirga
Epidermidibacterium keratini	1	1891644	1891644	1755	0.763824	0.763841	cellular organisms;Actinomycetota;Actinomycetes;Sporichthyales;Sporichthyaceae;Epidermidibacterium
Nitrobacter winogradskyi	1	913	913	1711	0.744674	0.744690	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Nitrobacter
Paracoccus alcaliphilus	1	34002	34002	1690	0.735534	0.735550	cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Paracoccus
Cloacibacterium caeni	1	2004710	2004710	1643	0.715078	0.715094	cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Cloacibacterium
Comamonas odontotermitis	1	379895	379895	1600	0.696364	0.696379	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonas
Immundisolibacter cernigliae	1	1810504	1810504	1507	0.655888	0.655902	cellular organisms;Pseudomonadota;Gammaproteobacteria;Immundisolibacterales;Immundisolibacteraceae;Immundisolibacter
Serratia entomophila	1	42906	42906	1489	0.648053	0.648068	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia
Acinetobacter colistiniresistens	1	280145	280145	1422	0.618893	0.618907	cellular organisms;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter
Variovorax paradoxus	1	34073	34073	1395	0.607142	0.607155	cellular organisms;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax
Blautia argi	1	1912897	1912897	1389	0.604531	0.604544	cellular organisms;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia
Acinetobacter baumannii	1	470	470	1374	0.598002	0.598015	cellular organisms;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter
Mesorhizobium opportunistum	1	593909	593909	1350	0.587557	0.587570	cellular organisms;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium
Acinetobacter indicus	1	756892	756892	1334	0.580593	0.580606	cellular organisms;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter
Sphingomonas radiodurans	1	2890321	2890321	1325	0.576676	0.576689	cellular organisms;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
Nocardioides daphniae	1	402297	402297	1306	0.568407	0.568419	cellular organisms;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Nocardioides
Sphingobacterium lactis	1	797291	797291	1261	0.548822	0.548834	cellular organisms;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium
Kluyvera intermedia	1	61648	61648	1230	0.535330	0.535341	cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kluyvera
