level	taxid	name	read_count	total_bp_mapped	rel_abundance
class	1236	Gammaproteobacteria	74056	24740855	0.438163
class	28211	Alphaproteobacteria	36813	13793360	0.143877
class	1760	Actinomycetes	27139	7285484	0.114432
class	91061	Bacilli	11551	4700964	0.133559
class	200643	Bacteroidia	9484	3346981	0.040631
class	186801	Clostridia	8335	4643157	0.041517
class	28216	Betaproteobacteria	6818	2273331	0.031582
class	191410	Chlorobiia	2267	609026	0.014320
class	Campylobacteria	Campylobacteria	1870	305706	0.006906
class	203683	Planctomycetia	1764	929180	0.003395
class	84998	Coriobacteriia	951	648107	0.006383
class	188787	Deinococci	780	258483	0.002501
class	3031449	Desulfovibrionia	779	785993	0.005167
class	3031651	Desulfuromonadia	645	194217	0.003125
class	292625	Anaerolineae	592	493886	0.004551
class	3031451	Desulfobulbia	502	274194	0.001979
class	3024408	Syntrophobacteria	335	227361	0.001538
class	3024418	Desulfobacteria	331	215926	0.000772
class	Polyangia	Polyangia	324	144277	0.000384
class	32015	Myxococcia	275	56987	0.000818
class	1497346	Thermoleophilia	246	56570	0.000541
class	909932	Negativicutes	235	106770	0.001699
class	Gemmatimonadetes	Gemmatimonadetes	128	69913	0.000410
class	203490	Fusobacteriia	89	9860	0.000998
class	Verrucomicrobiae	Verrucomicrobiae	73	43000	0.000219
class	Haliangiales - no_c_rank	Haliangiales - no_c_rank	50	16307	0.000066
class	3031418	Bdellovibrionia	37	26646	0.000246
class	451435	Chytridiomycetes	15	2025	0.000001
class	203692	Spirochaetia	13	9759	0.000092
class	3118665	Desulfitobacteriia	5	1162	0.000043
class	Cyanobacteriia	Cyanobacteriia	4	958	0.000059
class	84995	Rubrobacteria	2	788	0.000009
class	147550	Sordariomycetes	1	176	0.000011
class	3031648	Syntrophia	1	604	0.000005
family	80864	Comamonadaceae	9946	1912530	0.025639
family	31989	Paracoccaceae	9337	3927878	0.040614
family	119060	Burkholderiaceae	9101	2908893	0.030329
family	481	Neisseriaceae	7618	2657229	0.112560
family	32033	Lysobacteraceae	6524	1508860	0.035511
family	135621	Pseudomonadaceae	6053	1303843	0.027643
family	468	Moraxellaceae	5997	2178224	0.032061
family	543	Enterobacteriaceae	5718	1366390	0.050667
family	41297	Sphingomonadaceae	5237	1791741	0.021403
family	186828	Carnobacteriaceae	4958	2544348	0.036114
family	33958	Lactobacillaceae	4676	1292054	0.052071
family	2762318	Weeksellaceae	4616	1156338	0.021706
family	186803	Lachnospiraceae	4476	2396175	0.024051
family	85023	Microbacteriaceae	4363	1114310	0.019203
family	1762	Mycobacteriaceae	4360	1100956	0.014104
family	82115	Rhizobiaceae	3625	769878	0.014807
family	2843308	Pleomorphomonadaceae	3621	1937748	0.012739
family	85017	Promicromonosporaceae	3204	732648	0.012801
family	2008794	Zoogloeaceae	3111	959355	0.013471
family	1903409	Erwiniaceae	2884	1670808	0.015521
family	85015	Nocardioidaceae	2696	533956	0.009198
family	3082771	Acutalibacteraceae	2643	1614206	0.010960
family	119045	Methylobacteriaceae	2512	1177500	0.011929
family	Thiomonas - no_f_rank	Thiomonas - no_f_rank	2293	649581	0.007410
family	31957	Propionibacteriaceae	2281	848449	0.008940
family	191412	Chlorobiaceae	2267	609026	0.014320
family	41294	Nitrobacteraceae	2190	598996	0.006984
family	49546	Flavobacteriaceae	2047	528964	0.007322
family	84642	Aeromonadaceae	2024	1221330	0.011103
family	2808963	Arcobacteraceae	1868	305211	0.006896
family	1706372	Halieaceae	1760	1226141	0.009750
family	85033	Sporichthyaceae	1746	588443	0.005415
family	335928	Xanthobacteraceae	1721	565881	0.005900
family	712	Pasteurellaceae	1677	635994	0.010131
family	1499392	Chromobacteriaceae	1676	424144	0.008294
family	255475	Aurantimonadaceae	1660	495489	0.005198
family	1934946	Immundisolibacteraceae	1482	437851	0.005849
family	84566	Sphingobacteriaceae	1305	873486	0.006133
family	2049	Actinomycetaceae	1178	457914	0.006232
family	186820	Listeriaceae	1053	508998	0.006460
family	90627	Gallionellaceae	1002	408089	0.005601
family	403	Methylococcaceae	995	409218	0.002872
family	1692041	Acidiferrobacteraceae	988	451274	0.005213
family	85016	Cellulomonadaceae	973	203384	0.003786
family	126	Planctomycetaceae	972	603485	0.002333
family	641	Vibrionaceae	944	625770	0.005091
family	Xylophilus - no_f_rank	Xylophilus - no_f_rank	940	462894	0.004285
family	1643826	Eggerthellaceae	911	624627	0.005969
family	335929	Erythrobacteraceae	900	373524	0.004926
family	1300	Streptococcaceae	835	352802	0.038787
family	135617	Thiotrichaceae	831	333636	0.004504
family	1775411	Rhodanobacteraceae	829	325481	0.003368
family	194924	Desulfovibrionaceae	779	785993	0.005167
family	995019	Sutterellaceae	752	472097	0.005029
family	216572	Oscillospiraceae	746	430259	0.004446
family	2070	Pseudonocardiaceae	731	141795	0.001018
family	2831090	Blastochloridaceae	718	215207	0.002850
family	Aquabacterium - no_f_rank	Aquabacterium - no_f_rank	718	262446	0.002607
family	118882	Brucellaceae	717	339798	0.002361
family	45404	Beijerinckiaceae	710	181818	0.001840
family	85026	Gordoniaceae	685	206436	0.001705
family	1268	Micrococcaceae	684	267706	0.007680
family	1763524	Isosphaeraceae	656	256142	0.000843
family	31953	Bifidobacteriaceae	648	131922	0.014315
family	2831106	Devosiaceae	638	194003	0.001932
family	75682	Oxalobacteraceae	636	197066	0.002549
family	2829815	Azospirillaceae	624	378568	0.002160
family	213422	Geobacteraceae	593	167790	0.002933
family	292628	Anaerolineaceae	592	493886	0.004551
family	183710	Deinococcaceae	588	174303	0.001683
family	2805590	Ornithinimicrobiaceae	584	154709	0.002538
family	85031	Nakamurellaceae	557	162098	0.001234
family	444	Legionellaceae	504	297410	0.002159
family	213121	Desulfobulbaceae	502	274194	0.001979
family	506	Alcaligenaceae	501	184514	0.007410
family	Xanthomonadaceae	Xanthomonadaceae	500	300559	0.011076
family	171550	Rikenellaceae	496	181692	0.001811
family	Methylopilaceae	Methylopilaceae	487	158777	0.001206
family	2854170	Roseobacteraceae	476	85771	0.001944
family	2897177	Chitinibacteraceae	421	203381	0.001686
family	433	Acetobacteraceae	406	180068	0.001148
family	85034	Glycomycetaceae	383	123030	0.000698
family	563798	Cyclobacteriaceae	358	220186	0.001195
family	41295	Rhodospirillaceae	353	146776	0.001183
family	213465	Syntrophobacteraceae	335	227361	0.001538
family	3031624	Desulfosarcinaceae	331	215926	0.000772
family	49	Polyangiaceae	324	144277	0.000384
family	224372	Alcanivoracaceae	316	136185	0.001117
family	31979	Clostridiaceae	298	101536	0.001103
family	1903411	Yersiniaceae	293	115743	0.000957
family	76892	Caulobacteraceae	290	93719	0.001132
family	85020	Dermabacteraceae	280	66318	0.001355
family	2726069	Kribbellaceae	275	68505	0.000450
family	2008793	Sterolibacteriaceae	273	114848	0.001165
family	2004	Streptosporangiaceae	269	51576	0.000314
family	2975441	Sphaerotilaceae	250	78656	0.000764
family	2758916	Paraconexibacteraceae	244	55990	0.000534
family	85025	Nocardiaceae	242	122868	0.001128
family	32011	Methylophilaceae	234	75205	0.001324
family	2896860	Spirosomataceae	227	154238	0.000567
family	83778	Kineosporiaceae	216	33786	0.000391
family	2005519	Barnesiellaceae	208	125349	0.001108
family	1524215	Anaeromyxobacteraceae	206	36525	0.000728
family	72276	Ectothiorhodospiraceae	204	156841	0.001491
family	2062	Streptomycetaceae	198	28878	0.000553
family	332247	Trueperaceae	192	84180	0.000819
family	28256	Halomonadaceae	185	46304	0.000659
family	1843491	Selenomonadaceae	166	73168	0.000535
family	2772226	Sulfuricellaceae	156	74385	0.000664
family	2705999	Casimicrobiaceae	153	81652	0.000572
family	Rhodobacteraceae	Rhodobacteraceae	133	19139	0.000171
family	85021	Intrasporangiaceae	132	20319	0.000313
family	1914233	Gemmataceae	131	67296	0.000208
family	2803844	Usitatibacteraceae	129	35022	0.000324
family	219687	Gemmatimonadaceae	128	69913	0.000410
family	Rhodobacter - no_f_rank	Rhodobacter - no_f_rank	128	29221	0.000360
family	74712	Frankiaceae	127	23548	0.000274
family	Intestinimonas - no_f_rank	Intestinimonas - no_f_rank	115	70879	0.000641
family	1217100	Jiangellaceae	106	41117	0.000369
family	TH1-2	TH1-2	105	48850	0.000378
family	815	Bacteroidaceae	104	48637	0.000393
family	69277	Phyllobacteriaceae	95	29874	0.000227
family	203492	Fusobacteriaceae	89	9860	0.000998
family	1853231	Odoribacteraceae	80	37543	0.000276
family	1647988	Akkermansiaceae	72	42535	0.000217
family	31977	Veillonellaceae	60	28949	0.000925
family	75787	Rhodocyclaceae	58	16841	0.000183
family	1331736	Ruaniaceae	58	13190	0.000104
