superkingdom	taxid	name	read_count	total_bp_mapped	rel_abundance
Bacteria	Neisseria_suis	Neisseria suis	5129	1633855	0.024402
Bacteria	1450134	Stenotrophomonas bentonitica	4259	936765	0.025394
Bacteria	1537215	Pseudooceanicola algae	3887	1548301	0.013961
Bacteria	1868793	Jeotgalibaca porci	3772	2096672	0.025914
Bacteria	1482074	Hartmannibacter diazotrophicus	3621	1937748	0.012739
Bacteria	1622	Ligilactobacillus murinus	3495	685956	0.043892
Bacteria	2067960	Pseudazoarcus pumilus	2684	818657	0.011376
Bacteria	372663	Isoptericola dokdonensis	2528	452981	0.008669
Bacteria	1097	Chlorobaculum tepidum	2267	609026	0.014320
Bacteria	Butyrivibrio_crossotus	Butyrivibrio crossotus	1914	1087858	0.012908
Bacteria	43948	Tolumonas auensis	1885	1203399	0.010003
Bacteria	1882682	Microvirga ossetica	1781	695184	0.002530
Bacteria	1891644	Epidermidibacterium keratini	1746	588443	0.005415
Bacteria	1810504	Immundisolibacter cernigliae	1482	437851	0.005849
Bacteria	1912897	Blautia argi	1356	695852	0.006398
Bacteria	2890321	Sphingomonas radiodurans	1323	424099	0.004930
Bacteria	42906	Serratia entomophila	1321	264963	0.010688
Bacteria	402297	Nocardioides daphniae	1280	278646	0.005151
Bacteria	797291	Sphingobacterium lactis	1261	856290	0.005740
Bacteria	2929799	Chryseobacterium oryzae	1221	307433	0.004421
Bacteria	2004710	Cloacibacterium caeni	1214	174034	0.007957
Bacteria	1282737	Flaviflexus salsibiostraticola	1164	453536	0.006158
Bacteria	61648	Kluyvera intermedia	1147	315579	0.008955
Bacteria	394935	Chromobacterium haemolyticum	1091	221800	0.006608
Bacteria	926	Thiomonas intermedia	1090	334582	0.004302
Bacteria	47735	Bibersteinia trehalosi	1073	468881	0.006593
Bacteria	2756	Brochothrix thermosphacta	1053	508998	0.006460
Bacteria	2109914	Ottowia oryzae	1050	314351	0.003930
Bacteria	640205	Pseudomonas seleniipraecipitans	1029	202194	0.002421
Bacteria	Neisseria_testudinis	Neisseria testudinis	1020	367452	0.004644
Bacteria	29405	Microlunatus phosphovorus	1020	407112	0.002417
Bacteria	593909	Mesorhizobium opportunistum	989	199180	0.005009
Bacteria	1620215	Sulfuricaulis limicola	988	451274	0.005213
Bacteria	Allorhizobium_daejeonense	Allorhizobium daejeonense	978	259917	0.003028
