abundance	clade_fragments_covered	number_fragments_assigned	rank	taxid	name
0.01	21.0	21.0	S	67081	Mycolicibacterium alvei
0.0	3.0	3.0	S	172045	Elizabethkingia miricola
0.0	3.0	2.0	S	536	Chromobacterium violaceum
0.01	22.0	22.0	S	93220	Pandoraea pnomenusa
0.0	1.0	1.0	S	141349	Mycobacterium lentiflavum
0.0	4.0	0.0	S	549	Pantoea agglomerans
0.01	21.0	2.0	S	28197	Aliarcobacter butzleri
0.0	1.0	1.0	S	2749991	Nocardia gipuzkoensis
0.0	1.0	1.0	S	93222	Pandoraea sputorum
0.0	3.0	3.0	S	180282	Delftia tsuruhatensis
0.01	17.0	17.0	S1	222805	Mycobacterium intracellulare subsp. chimaera
0.0	1.0	1.0	S	283734	Staphylococcus pseudintermedius
0.0	1.0	1.0	S	61015	Staphylococcus succinus
0.0	6.0	6.0	S	51288	Kluyvera ascorbata
0.0	5.0	5.0	S	53345	Enterococcus durans
0.0	2.0	2.0	S	53346	Enterococcus mundtii
0.01	27.0	27.0	S	146017	Mycolicibacterium boenickei
0.02	55.0	55.0	S	82541	Cupriavidus gilardii
0.0	1.0	1.0	S	84595	Gordonia polyisoprenivorans
0.0	3.0	3.0	S	158836	Enterobacter hormaechei
0.09	215.0	215.0	S	217204	Achromobacter insolitus
0.5	1150.0	1150.0	S	217203	Achromobacter spanius
0.47	1081.0	251.0	S	47735	Bibersteinia trehalosi
0.0	2.0	2.0	S	1851514	Scandinavium goeteborgense
0.0	3.0	3.0	S	60550	Burkholderia pyrrocinia
0.02	36.0	36.0	S	648	Aeromonas caviae
0.0	1.0	1.0	S	57480	Microvirgula aerodenitrificans
0.01	14.0	14.0	S	60552	Burkholderia vietnamiensis
0.0	4.0	4.0	S	654	Aeromonas veronii
0.0	1.0	1.0	S	244366	Klebsiella variicola
0.0	1.0	1.0	S	106648	Acinetobacter bereziniae
0.0	1.0	1.0	S	33945	Enterococcus avium
0.0	1.0	1.0	S	158	Treponema denticola
0.0	1.0	1.0	S	106654	Acinetobacter nosocomialis
0.0	1.0	1.0	S	2480810	Pseudoxanthomonas winnipegensis
0.01	30.0	30.0	S	394935	Chromobacterium haemolyticum
0.0	7.0	7.0	S	85693	Mycolicibacterium monacense
0.0	5.0	5.0	S	147645	Paracoccus yeei
0.0	4.0	4.0	S	703	Plesiomonas shigelloides
0.21	481.0	44.0	S	85698	Achromobacter xylosoxidans
0.0	1.0	1.0	S	195	Campylobacter coli
0.0	7.0	7.0	S	421058	Chryseobacterium oranimense
0.0	2.0	2.0	S	160453	Enterococcus gilvus
0.0	3.0	3.0	S	1871047	Chryseobacterium sp.
0.0	4.0	4.0	S	225992	Comamonas kerstersii
0.0	6.0	6.0	S	201	Campylobacter lari
0.0	1.0	1.0	S	70346	Acinetobacter variabilis
0.0	2.0	2.0	S	82633	Cupriavidus pauculus
0.08	175.0	175.0	S	126673	Mycolicibacterium doricum
0.01	12.0	12.0	S	29394	Dolosigranulum pigrum
0.0	1.0	1.0	S	61651	Serratia ficaria
0.0	1.0	1.0	S	96468	Nocardia vinacea
0.01	21.0	21.0	S	53462	Mycolicibacterium mageritense
0.01	33.0	33.0	S	82135	Fannyhessea vaginae
0.0	3.0	3.0	S	730	[Haemophilus] ducreyi
0.07	151.0	151.0	S	319707	Mycolicibacterium aubagnense
0.03	61.0	61.0	S	319706	Mycolicibacterium phocaicum
0.01	26.0	26.0	S	731	Histophilus somni
0.24	541.0	439.0	S	738	Glaesserella parasuis
0.0	1.0	0.0	S	28901	Salmonella enterica
0.01	17.0	0.0	S	1767	Mycobacterium intracellulare
0.01	27.0	27.0	S	1768	Mycobacterium kansasii
0.0	3.0	3.0	S	67826	Citrobacter sedlakii
0.15	336.0	336.0	S	67827	Citrobacter werkmanii
0.02	37.0	37.0	S	246	Chryseobacterium balustinum
0.0	2.0	2.0	S	29430	Acinetobacter haemolyticus
0.0	1.0	1.0	S	1270	Micrococcus luteus
0.0	1.0	1.0	S	1789	Mycobacterium xenopi
0.01	13.0	13.0	S	253	Chryseobacterium indologenes
0.07	163.0	163.0	S	105219	Ralstonia mannitolilytica
0.0	3.0	3.0	S	1797	Mycolicibacterium thermoresistibile
0.0	1.0	1.0	S	263	Francisella tularensis
0.01	20.0	0.0	S	47880	Pseudomonas fulva
0.0	2.0	2.0	S	1530123	Acinetobacter seifertii
0.0	1.0	1.0	S	47885	Pseudomonas oryzihabitans
0.0	1.0	1.0	S	1697043	Bordetella sp. H567
0.02	39.0	38.0	S	40214	Acinetobacter johnsonii
0.0	2.0	2.0	S	40215	Acinetobacter junii
0.0	1.0	1.0	S	40216	Acinetobacter radioresistens
0.0	1.0	1.0	S	1891094	Pandoraea fibrosis
0.0	1.0	1.0	S	71452	Enterococcus raffinosus
0.0	4.0	4.0	S	285	Comamonas testosteroni
0.01	23.0	23.0	S	287	Pseudomonas aeruginosa
0.0	1.0	1.0	S	480035	Nocardia wallacei
0.0	1.0	1.0	S	1829	Rhodococcus rhodochrous
0.0	4.0	3.0	S	294	Pseudomonas fluorescens
0.01	12.0	12.0	S	28454	Sphingobacterium multivorum
0.01	25.0	9.0	S	300	Pseudomonas mendocina
0.02	40.0	19.0	S	303	Pseudomonas putida
0.0	1.0	1.0	S	823	Parabacteroides distasonis
0.1	230.0	230.0	S	665913	Mixta calida
0.0	1.0	1.0	S	135487	Nocardia cyriacigeorgica
0.0	3.0	3.0	S	1351	Enterococcus faecalis
0.0	1.0	1.0	S	329	Ralstonia pickettii
0.0	7.0	7.0	S	1354	Enterococcus hirae
0.0	5.0	5.0	S	87883	Burkholderia multivorans
0.05	121.0	121.0	S	1363	Lactococcus garvieae
0.0	1.0	1.0	S	386911	Mycobacterium seoulense
0.0	1.0	1.0	S	1389922	Achromobacter mucicolens
0.0	1.0	0.0	S	37734	Enterococcus casseliflavus
0.02	48.0	48.0	S	358	Agrobacterium tumefaciens
0.0	2.0	2.0	S	398694	Mycobacterium shinjukuense
0.0	5.0	5.0	S	57706	Citrobacter braakii
0.01	20.0	20.0	S	876	Desulfovibrio desulfuricans
0.0	3.0	3.0	S	72557	Achromobacter ruhlandii
0.0	1.0	1.0	S	1031542	Campylobacter volucris
0.0	1.0	0.0	S	1911	Streptomyces griseus
0.0	2.0	2.0	S	1405	Bacillus mycoides
0.0	3.0	3.0	S	40324	Stenotrophomonas maltophilia
0.0	1.0	1.0	S	38289	Corynebacterium jeikeium
0.0	1.0	1.0	S	357276	Phocaeicola dorei
0.02	54.0	54.0	S1	649638	Truepera radiovictrix DSM 17093
0.0	1.0	0.0	S	603050	Malaciobacter mytili
0.0	1.0	1.0	S	46506	Bacteroides stercoris
0.0	1.0	1.0	S	38323	Bartonella henselae
0.0	1.0	1.0	S	152500	Burkholderia dolosa
0.01	18.0	18.0	S	108981	Acinetobacter schindleri
0.02	47.0	47.0	S	28090	Acinetobacter lwoffii
0.0	5.0	5.0	S	154046	Hungatella hathewayi
0.0	2.0	2.0	S	108486	Corynebacterium falsenii
0.0	2.0	2.0	S	1117645	Elizabethkingia anophelis
0.0	1.0	1.0	S	54736	Salmonella bongori
0.03	72.0	71.0	S	470	Acinetobacter baumannii
0.0	7.0	7.0	S	471	Acinetobacter calcoaceticus
0.0	2.0	2.0	S	1496	Clostridioides difficile
0.05	109.0	109.0	S	76761	Pseudomonas veronii
0.08	193.0	139.0	S	332249	Truepera radiovictrix
0.0	1.0	1.0	S	198620	Pseudomonas koreensis
