#Number of Samples: 1
#Total Number of Reads: 228951
#S1	sample_Nanopore_CDC_null_Viral_ref.bracken.kraken2.report.txt
#perc	tot_all	tot_lvl	1_all	1_lvl	lvl_type	taxid	name
0.6569	1504	1504	1504	1504	U	0	unclassified
99.3431	227447	2	227447	2	R	1	root
99.3422	227445	45	227445	45	R1	131567	  cellular organisms
99.3025	227354	548	227354	548	D	2	    Bacteria
61.5708	140967	86	140967	86	P	1224	      Pseudomonadota
22.9062	52444	30	52444	30	C	1236	        Gammaproteobacteria
4.6674	10686	15	10686	15	O	91347	          Enterobacterales
2.4023	5500	12	5500	12	F	543	            Enterobacteriaceae
0.7312	1674	4	1674	4	G	544	              Citrobacter
0.5730	1312	73	1312	73	G1	1344959	                Citrobacter freundii complex
0.3228	739	739	739	739	S	1748967	                  Citrobacter cronae
0.1459	334	334	334	334	S	67827	                  Citrobacter werkmanii
0.0625	143	143	143	143	S	546	                  Citrobacter freundii
0.0066	15	15	15	15	S	1639133	                  Citrobacter portucalensis
0.0022	5	5	5	5	S	57706	                  Citrobacter braakii
0.0013	3	3	3	3	S	67826	                  Citrobacter sedlakii
0.1079	247	247	247	247	S	2546350	                Citrobacter arsenatis
0.0485	111	111	111	111	S	1914243	                Citrobacter europaeus
0.5460	1250	0	1250	0	G	579	              Kluyvera
0.5433	1244	1244	1244	1244	S	61648	                Kluyvera intermedia
0.0026	6	6	6	6	S	51288	                Kluyvera ascorbata
0.4355	997	0	997	0	G	447792	              Phytobacter
0.4346	995	995	995	995	S	1972431	                Phytobacter ursingii
0.0009	2	2	2	2	S	395631	                Phytobacter diazotrophicus
0.4141	948	0	948	0	G	83654	              Leclercia
0.4141	948	948	948	948	S	2815358	                Leclercia pneumoniae
0.1136	260	1	260	1	F1	2890311	              Klebsiella/Raoultella group
0.1131	259	0	259	0	G	570	                Klebsiella
0.1092	250	250	250	250	S	2026240	                  Klebsiella quasivariicola
0.0035	8	8	8	8	S	573	                  Klebsiella pneumoniae
0.0004	1	1	1	1	S	244366	                  Klebsiella variicola
0.0773	177	0	177	0	G	158851	              Trabulsiella
0.0773	177	177	177	177	S	379893	                Trabulsiella odontotermitis
0.0607	139	0	139	0	G	1504576	              Pseudocitrobacter
0.0607	139	139	139	139	S	2891570	                Pseudocitrobacter corydidari
0.0096	22	0	22	0	G	561	              Escherichia
0.0096	22	19	22	19	S	562	                Escherichia coli
0.0013	3	3	3	3	S1	2048776	                  Escherichia coli O128:H27
0.0026	6	0	6	0	G	82976	              Buttiauxella
0.0026	6	6	6	6	S	82977	                Buttiauxella agrestis
0.0022	5	2	5	2	G	547	              Enterobacter
0.0013	3	0	3	0	G1	354276	                Enterobacter cloacae complex
0.0013	3	3	3	3	S	158836	                  Enterobacter hormaechei
0.0017	4	0	4	0	G	702	              Plesiomonas
0.0017	4	4	4	4	S	703	                Plesiomonas shigelloides
0.0009	2	0	2	0	G	2726810	              Scandinavium
0.0009	2	2	2	2	S	1851514	                Scandinavium goeteborgense
0.0009	2	0	2	0	G	590	              Salmonella
0.0004	1	1	1	1	S	54736	                Salmonella bongori
0.0004	1	0	1	0	S	28901	                Salmonella enterica
0.0004	1	0	1	0	S1	59201	                  Salmonella enterica subsp. enterica
0.0004	1	1	1	1	S2	286783	                    Salmonella enterica subsp. enterica serovar Indiana
0.0004	1	0	1	0	G	1330547	              Kosakonia
0.0004	1	0	1	0	S	283686	                Kosakonia radicincitans
0.0004	1	1	1	1	S1	1177180	                  Kosakonia radicincitans DSM 16656
0.0004	1	0	1	0	G	1335483	              Shimwellia
0.0004	1	1	1	1	S	563	                Shimwellia blattae
1.2763	2922	7	2922	7	F	1903409	            Erwiniaceae
1.1269	2580	0	2580	0	G	551	              Erwinia
0.8325	1906	115	1906	115	S	182337	                Erwinia billingiae
0.7823	1791	1791	1791	1791	S1	634500	                  Erwinia billingiae Eb661
0.2262	518	507	518	507	S	552	                Erwinia amylovora
0.0039	9	9	9	9	S1	889211	                  Erwinia amylovora ATCC BAA-2158
0.0009	2	2	2	2	S1	1255303	                  Erwinia amylovora Ea356
0.0598	137	0	137	0	S	338565	                Erwinia tasmaniensis
0.0598	137	137	137	137	S1	465817	                  Erwinia tasmaniensis Et1/99
0.0083	19	19	19	19	S	79967	                Erwinia pyrifoliae
0.1005	230	0	230	0	G	2100764	              Mixta
0.1005	230	230	230	230	S	665913	                Mixta calida
0.0459	105	0	105	0	G	53335	              Pantoea
0.0415	95	95	95	95	S	55209	                Pantoea cypripedii
0.0022	5	0	5	0	S	66269	                Pantoea stewartii
0.0022	5	0	5	0	S1	66271	                  Pantoea stewartii subsp. stewartii
0.0022	5	5	5	5	S2	660596	                    Pantoea stewartii subsp. stewartii DC283
0.0017	4	0	4	0	G1	1654067	                Pantoea agglomerans group
0.0017	4	0	4	0	S	549	                  Pantoea agglomerans
0.0017	4	4	4	4	S1	77834	                    Pantoea agglomerans pv. betae
0.0004	1	0	1	0	S	470934	                Pantoea vagans
0.0004	1	1	1	1	S1	712898	                  Pantoea vagans C9-1
0.8373	1917	1	1917	1	F	1903411	            Yersiniaceae
0.6547	1499	0	1499	0	G	613	              Serratia
0.6482	1484	1484	1484	1484	S	42906	                Serratia entomophila
0.0044	10	10	10	10	S	137545	                Serratia quinivorans
0.0013	3	0	3	0	S	2338073	                Serratia inhibens
0.0013	3	3	3	3	S1	1154756	                  Serratia inhibens PRI-2C
0.0004	1	1	1	1	S	61651	                Serratia ficaria
0.0004	1	0	1	0	G1	2647522	                unclassified Serratia (in: enterobacteria)
0.0004	1	1	1	1	S	2482769	                  Serratia sp. P2ACOL2
0.0895	205	0	205	0	G	1745211	              Chania
0.0895	205	0	205	0	S	1639108	                Chania multitudinisentens
