source	rank	name	fraction	f_weighted	bp_match	lineage
Bacteria/Archaea	superkingdom	Bacteria	8.823149e-01	0.8823149046233484	13645000	d__Bacteria
Bacteria/Archaea	phylum	Pseudomonadota	4.776592e-01	0.4776592305205313	7387000	d__Bacteria;p__Pseudomonadota
Bacteria/Archaea	phylum	Actinomycetota	1.533139e-01	0.15331393469123797	2371000	d__Bacteria;p__Actinomycetota
Bacteria/Archaea	phylum	Bacillota	1.462658e-01	0.14626576139670203	2262000	d__Bacteria;p__Bacillota
Bacteria/Archaea	phylum	Bacteroidota	5.321694e-02	0.05321694148076301	823000	d__Bacteria;p__Bacteroidota
Bacteria/Archaea	phylum	Bacteroidota_A	3.343033e-02	0.0334303265438086	517000	d__Bacteria;p__Bacteroidota_A
Bacteria/Archaea	phylum	Desulfobacterota	7.112835e-03	0.007112835434852894	110000	d__Bacteria;p__Desulfobacterota
Bacteria/Archaea	phylum	Deinococcota	7.048173e-03	0.00704817329453605	109000	d__Bacteria;p__Deinococcota
Bacteria/Archaea	phylum	Campylobacterota	2.521823e-03	0.002521823472356935	39000	d__Bacteria;p__Campylobacterota
Bacteria/Archaea	phylum	Planctomycetota	1.228581e-03	0.0012285806660200453	19000	d__Bacteria;p__Planctomycetota
Bacteria/Archaea	phylum	Desulfobacterota_I	3.233107e-04	0.0003233107015842224	5000	d__Bacteria;p__Desulfobacterota_I
Bacteria/Archaea	phylum	Chloroflexota	6.466214e-05	6.466214031684449e-05	1000	d__Bacteria;p__Chloroflexota
Bacteria/Archaea	phylum	Gemmatimonadota	6.466214e-05	6.466214031684449e-05	1000	d__Bacteria;p__Gemmatimonadota
Bacteria/Archaea	phylum	Verrucomicrobiota	6.466214e-05	6.466214031684449e-05	1000	d__Bacteria;p__Verrucomicrobiota
Bacteria/Archaea	class	Gammaproteobacteria	3.611381e-01	0.3611380536695774	5585000	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria
Bacteria/Archaea	class	Actinomycetes	1.507921e-01	0.1507921112188811	2332000	d__Bacteria;p__Actinomycetota;c__Actinomycetes
Bacteria/Archaea	class	Bacilli	1.174264e-01	0.1174264468153896	1816000	d__Bacteria;p__Bacillota;c__Bacilli
Bacteria/Archaea	class	Alphaproteobacteria	1.165212e-01	0.1165211768509538	1802000	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria
Bacteria/Archaea	class	Bacteroidia	5.321694e-02	0.05321694148076301	823000	d__Bacteria;p__Bacteroidota;c__Bacteroidia
Bacteria/Archaea	class	Chlorobiia	3.343033e-02	0.0334303265438086	517000	d__Bacteria;p__Bacteroidota_A;c__Chlorobiia
Bacteria/Archaea	class	Clostridia	2.702877e-02	0.027028774652441002	418000	d__Bacteria;p__Bacillota;c__Clostridia
