source	name	fraction	f_weighted	bp_match	lineage
Bacteria/Archaea	Jeotgalibaca porci	8.651794e-02	0.08651794374393793	1338000	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Jeotgalibaca;s__Jeotgalibaca porci
Bacteria/Archaea	Chlorobaculum tepidum	3.343033e-02	0.0334303265438086	517000	d__Bacteria;p__Bacteroidota_A;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobaculum;s__Chlorobaculum tepidum
Bacteria/Archaea	Sphingobacterium lactis	2.017459e-02	0.02017458777885548	312000	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium lactis
Bacteria/Archaea	Microbacterium oleivorans_D	1.998060e-02	0.019980601357904946	309000	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium oleivorans_D
Bacteria/Archaea	Pseudazoarcus pumilus	1.881668e-02	0.018816682832201746	291000	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Pseudazoarcus;s__Pseudazoarcus pumilus
Bacteria/Archaea	Rhodanobacter glycinis_A	1.823472e-02	0.018234723569350145	282000	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Rhodanobacter;s__Rhodanobacter glycinis_A
Bacteria/Archaea	Allorhizobium daejeonense	1.590689e-02	0.015906886517943745	246000	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Allorhizobium;s__Allorhizobium daejeonense
Bacteria/Archaea	Nocardioides daphniae	1.558358e-02	0.015583575816359522	241000	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__Nocardioides daphniae
Bacteria/Archaea	Pseudomonas_E sediminis	1.551891e-02	0.015518913676042677	240000	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E sediminis
Bacteria/Archaea	Isoptericola dokdonensis	1.370837e-02	0.013708373747171031	212000	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Cellulomonadaceae;g__Isoptericola;s__Isoptericola dokdonensis
Bacteria/Archaea	Serratia entomophila	1.332040e-02	0.013320400905269964	206000	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia entomophila
Bacteria/Archaea	Pseudooceanicola algae	1.312641e-02	0.013126414484319431	203000	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pseudooceanicola;s__Pseudooceanicola algae
Bacteria/Archaea	Aquabacterium olei	1.286777e-02	0.012867765923052053	199000	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Aquabacterium;s__Aquabacterium olei
Bacteria/Archaea	Pseudomonas_E seleniipraecipitans	1.254446e-02	0.012544455221467831	194000	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E seleniipraecipitans
Bacteria/Archaea	Stenotrophomonas bentonitica_A	1.138054e-02	0.01138053669576463	176000	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas bentonitica_A
Bacteria/Archaea	Legionella lytica	1.131587e-02	0.011315874555447785	175000	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__Legionella lytica
Bacteria/Archaea	Paraoerskovia marina	1.092790e-02	0.010927901713546719	169000	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Cellulomonadaceae;g__Paraoerskovia;s__Paraoerskovia marina
Bacteria/Archaea	Achromobacter pestifer	1.047527e-02	0.010475266731328807	162000	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Achromobacter;s__Achromobacter pestifer
Bacteria/Archaea	Sphingomonas taxi	1.034594e-02	0.010345942450695119	160000	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas taxi
Bacteria/Archaea	Sphingomonas aliaeris	9.893307e-03	0.009893307468477207	153000	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas aliaeris
Bacteria/Archaea	Cupriavidus cauae	9.893307e-03	0.009893307468477207	153000	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__Cupriavidus cauae
Bacteria/Archaea	Oscillibacter valericigenes_B	9.634659e-03	0.009634658907209829	149000	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter valericigenes_B
Bacteria/Archaea	Pseudomonas_E extremaustralis	9.246686e-03	0.009246686065308762	143000	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E extremaustralis
Bacteria/Archaea	Paludibacterium paludis	8.664727e-03	0.00866472680245716	134000	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Paludibacterium;s__Paludibacterium paludis
Bacteria/Archaea	Vibrio zhugei	8.600065e-03	0.008600064662140318	133000	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio zhugei
Bacteria/Archaea	Brochothrix thermosphacta	8.406078e-03	0.008406078241189783	130000	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Listeriaceae;g__Brochothrix;s__Brochothrix thermosphacta
Bacteria/Archaea	Pseudomonas_E wadenswilerensis	7.888781e-03	0.007888781118655028	122000	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E wadenswilerensis
Bacteria/Archaea	Hartmannibacter diazotrophicus	7.824119e-03	0.007824118978338183	121000	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Pleomorphomonadaceae;g__Hartmannibacter;s__Hartmannibacter diazotrophicus
Bacteria/Archaea	Neotabrizicola shimadae	7.630133e-03	0.0076301325573876495	118000	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Neotabrizicola;s__Neotabrizicola shimadae
Bacteria/Archaea	Tolumonas auensis	7.630133e-03	0.0076301325573876495	118000	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Tolumonas;s__Tolumonas auensis
Bacteria/Archaea	Pseudomonas_E baltica	6.918849e-03	0.0069188490139023605	107000	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E baltica
Bacteria/Archaea	Pseudoxanthomonas_A spadix	6.789525e-03	0.006789524733268671	105000	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas_A;s__Pseudoxanthomonas_A spadix
